,year,month,tournament_link,tournament_name,tournament_dates,tournament_prize_money,tournament_super_level,city,country,men_singles_winner,men_singles_runner_up,men_singles_third_place_1,men_singles_third_place_2,women_singles_winner,women_singles_runner_up,women_singles_third_place_1,women_singles_third_place_2,men_doubles_winner_1,men_doubles_winner_2,men_doubles_runner_up_1,men_doubles_runner_up_2,men_doubles_third_place_1_1,men_doubles_third_place_1_2,men_doubles_third_place_2_1,men_doubles_third_place_2_2,women_doubles_winner_1,women_doubles_winner_2,women_doubles_runner_up_1,women_doubles_runner_up_2,women_doubles_third_place_1_1,women_doubles_third_place_1_2,women_doubles_third_place_2_1,women_doubles_third_place_2_2,mixed_doubles_winner_1,mixed_doubles_winner_2,mixed_doubles_runner_up_1,mixed_doubles_runner_up_2,mixed_doubles_third_place_1_1,mixed_doubles_third_place_1_2,mixed_doubles_third_place_2_1,mixed_doubles_third_place_2_2
48,2019,"
NOVEMBER ",https://bwfworldtour.bwfbadminton.com/tournament/3369/yonex-sunrise-hong-kong-open-2019,YONEX-SUNRISE Hong Kong Open 2019,12 - 17 NOVEMBER,"PRIZE MONEY USD $400,000",https://extranet.bwf.sport/docs/tmt-category/WT_300.svg,Hong Kong,Hong Kong China,LEE Cheuk Yiu,Anthony Sinisuka GINTING,Jonatan CHRISTIE,KIDAMBI Srikanth,CHEN Yu Fei,Ratchanok INTANON,Akane YAMAGUCHI,Beiwen ZHANG,CHOI Sol Gyu,SEO Seung Jae,Mohammad AHSAN,Hendra SETIAWAN,Hiroyuki ENDO,Yuta WATANABE,LI Jun Hui,LIU Yu Chen,CHEN Qing Chen,JIA Yi Fan,CHANG Ye Na,KIM Hyerin,BAEK Ha Na,JUNG Kyung Eun,Mayu MATSUMOTO,Wakana NAGAHARA,Yuta WATANABE,Arisa HIGASHINO,HE Ji Ting,DU Yue,GOH Soon Huat,LAI Shevon Jemie,Hafiz FAIZAL,Gloria Emanuelle WIDJAJA
49,2019,"
NOVEMBER ",https://bwfworldtour.bwfbadminton.com/tournament/3370/gwangju-korea-masters-2019,Gwangju Korea Masters 2019,19 - 24 NOVEMBER,"PRIZE MONEY USD $200,000",https://extranet.bwf.sport/docs/tmt-category/WT_300.svg,Gwangju Metropolitan City,Korea,Kanta TSUNEYAMA,LIN Dan,LU Guang Zu,ZHAO Jun Peng,AN Se Young,SUNG Jihyun,Saena KAWAKAMI,Akane YAMAGUCHI,LEE Yang,WANG Chi-Lin,GOH V Shem,TAN Wee Kiong,KIM Won Ho,PARK Kyung Hoon,CHOI Sol Gyu,SEO Seung Jae,Nami MATSUYAMA,Chiharu SHIDA,Misaki MATSUTOMO,Ayaka TAKAHASHI,HSU Ya Ching,HU Ling Fang,LEE So Hee,SHIN Seung Chan,TANG Chun Man,TSE Ying Suet,GOH Soon Huat,LAI Shevon Jemie,YANG Po-Hsuan,HU Ling Fang,LEE Jhe-Huei,HSU Ya Ching
50,2019,"
NOVEMBER ",https://bwfworldtour.bwfbadminton.com/tournament/3396/ecogreen-syed-modi-international-badminton-championships-2019,Ecogreen Syed Modi International Badminton Championships 2019,26 NOVEMBER - 01 DECEMBER,"PRIZE MONEY USD $150,000",https://extranet.bwf.sport/docs/tmt-category/WT_300.svg,Lucknow,India,WANG Tzu Wei,Sourabh VERMA,HEO Kwang Hee,SON Wan Ho,Carolina MARIN,LALINRAT CHAIWAN,Rituparna DAS,KIM Ga Eun,HE Ji Ting,TAN Qiang,CHOI Sol Gyu,SEO Seung Jae,HAN Cheng Kai,ZHOU Hao Dong,DI Zi Jian,WANG Chang,BAEK Ha Na,JUNG Kyung Eun,CHANG Ye Na,KIM Hyerin,Linda EFLER,Isabel LOHAU,NG Wing Yung,YEUNG Nga Ting,Rodion ALIMOV,Alina DAVLETOVA,Marcus ELLIS,Lauren SMITH,Mark LAMSFUSS,Isabel LOHAU,Thom GICQUEL,Delphine DELRUE
51,2020,JANUARY,https://bwfworldtour.bwfbadminton.com/tournament/3687/perodua-malaysia-masters-2020,PERODUA Malaysia Masters 2020,07 - 12 JANUARY,"PRIZE MONEY USD $400,000",https://extranet.bwf.sport/docs/tmt-category/WT_500.svg,Kuala Lumpur,Malaysia,Kento MOMOTA,Viktor AXELSEN,LEE Zii Jia,NG Ka Long Angus,CHEN Yu Fei,TAI Tzu Ying,HE Bing Jiao,Carolina MARIN,KIM Gi Jung,LEE Yong Dae,LI Jun Hui,LIU Yu Chen,Fajar ALFIAN,Muhammad Rian ARDIANTO,Mohammad AHSAN,Hendra SETIAWAN,LI Wen Mei,ZHENG Yu,DU Yue,LI Yin Hui,Greysia POLII,Apriyani RAHAYU,Nami MATSUYAMA,Chiharu SHIDA,ZHENG Si Wei,HUANG Ya Qiong,WANG Yi Lyu,HUANG Dong Ping,Hafiz FAIZAL,Gloria Emanuelle WIDJAJA,CHAN Peng Soon,GOH Liu Ying
52,2020,JANUARY,https://bwfworldtour.bwfbadminton.com/tournament/3752/daihatsu-indonesia-masters-2020,DAIHATSU Indonesia Masters 2020,14 - 19 JANUARY,"PRIZE MONEY USD $400,000",https://extranet.bwf.sport/docs/tmt-category/WT_500.svg,Jakarta,Indonesia,Anthony Sinisuka GINTING,Anders ANTONSEN,Viktor AXELSEN,LEE Cheuk Yiu,Ratchanok INTANON,Carolina MARIN,HE Bing Jiao,WANG Zhi Yi,Marcus Fernaldi GIDEON,Kevin Sanjaya SUKAMULJO,Mohammad AHSAN,Hendra SETIAWAN,Fajar ALFIAN,Muhammad Rian ARDIANTO,Aaron CHIA,SOH Wooi Yik,Greysia POLII,Apriyani RAHAYU,Maiken FRUERGAARD,Sara THYGESEN,KIM So Yeong,KONG Hee Yong,Misaki MATSUTOMO,Ayaka TAKAHASHI,ZHENG Si Wei,HUANG Ya Qiong,WANG Yi Lyu,HUANG Dong Ping,TAN Kian Meng,LAI Pei Jing,Thom GICQUEL,Delphine DELRUE
53,2020,JANUARY,https://bwfworldtour.bwfbadminton.com/tournament/3688/princess-sirivannavari-thailand-masters-2020,Princess Sirivannavari Thailand Masters 2020,21 - 26 JANUARY,"PRIZE MONEY USD $170,000",https://extranet.bwf.sport/docs/tmt-category/WT_300.svg,Bangkok,Thailand,NG Ka Long Angus,Kenta NISHIMOTO,SHI Yu Qi,Kunlavut VITIDSARN,Akane YAMAGUCHI,AN Se Young,Carolina MARIN,Aya OHORI,ONG Yew Sin,TEO Ee Yi,HUANG Kai Xiang,LIU Cheng,LEE Jhe-Huei,YANG Po-Hsuan,GOH V Shem,TAN Wee Kiong,CHEN Qing Chen,JIA Yi Fan,BAEK Ha Na,JUNG Kyung Eun,CHANG Ye Na,KIM Hyerin,KIM So Yeong,KONG Hee Yong,Marcus ELLIS,Lauren SMITH,Hafiz FAIZAL,Gloria Emanuelle WIDJAJA,TAN Kian Meng,LAI Pei Jing,GOH Soon Huat,LAI Shevon Jemie
54,2020,"
FEBRUARY ",https://bwfworldtour.bwfbadminton.com/tournament/3748/barcelona-spain-masters-2020,Barcelona Spain Masters 2020,18 - 23 FEBRUARY,"PRIZE MONEY USD $170,000",https://extranet.bwf.sport/docs/tmt-category/WT_300.svg,Barcelona,Spain,Viktor AXELSEN,Kunlavut VITIDSARN,Ajay JAYARAM,LIEW Daren,Pornpawee CHOCHUWONG,Carolina MARIN,Supanida KATETHONG,Busanan ONGBAMRUNGPHAN,Kim ASTRUP,Anders Skaarup RASMUSSEN,LEE Yang,WANG Chi-Lin,Aaron CHIA,SOH Wooi Yik,LU Ching Yao,YANG Po Han,Greysia POLII,Apriyani RAHAYU,Gabriela STOEVA,Stefani STOEVA,Jongkolphan KITITHARAKUL,Rawinda PRAJONGJAI,Chloe BIRCH,Lauren SMITH,KIM Sa Rang,KIM Ha Na,Thom GICQUEL,Delphine DELRUE,YANG Po-Hsuan,HU Ling Fang,Mathias BAY-SMIDT,Rikke SØBY
55,2020,"
MARCH ",https://bwfworldtour.bwfbadminton.com/tournament/3690/yonex-all-england-open-2020,YONEX All England Open 2020,11 - 15 MARCH,"PRIZE MONEY USD $1,100,000",https://extranet.bwf.sport/docs/tmt-category/WT_1000.svg,Birmingham,England,Viktor AXELSEN,CHOU Tien Chen,Anders ANTONSEN,LEE Zii Jia,TAI Tzu Ying,CHEN Yu Fei,Carolina MARIN,Nozomi OKUHARA,Hiroyuki ENDO,Yuta WATANABE,Marcus Fernaldi GIDEON,Kevin Sanjaya SUKAMULJO,Vladimir IVANOV,Ivan SOZONOV,LEE Yang,WANG Chi-Lin,Yuki FUKUSHIMA,Sayaka HIROTA,DU Yue,LI Yin Hui,LEE So Hee,SHIN Seung Chan,Misaki MATSUTOMO,Ayaka TAKAHASHI,Praveen JORDAN,Melati Daeva OKTAVIANTI,Dechapol PUAVARANUKROH,Sapsiree TAERATTANACHAI,SEO Seung Jae,CHAE Yu Jung,Marcus ELLIS,Lauren SMITH
56,2020,"
OCTOBER ",https://bwfworldtour.bwfbadminton.com/tournament/3801/danisa-denmark-open-i-2020,DANISA Denmark Open I 2020,13 - 18 OCTOBER,"PRIZE MONEY USD $750,000",https://extranet.bwf.sport/docs/tmt-category/WT_750.svg,Odense V,Denmark,Anders ANTONSEN,Rasmus GEMKE,CHOU Tien Chen,Kenta NISHIMOTO,Nozomi OKUHARA,Carolina MARIN,Michelle LI,Yvonne LI,Marcus ELLIS,Chris LANGRIDGE,Vladimir IVANOV,Ivan SOZONOV,Joel EIPE,Rasmus KJÆR,Ben LANE,Sean VENDY,Yuki FUKUSHIMA,Sayaka HIROTA,Mayu MATSUMOTO,Wakana NAGAHARA,Christine BUSCH,Amalie SCHULZ,Gabriela STOEVA,Stefani STOEVA,Mark LAMSFUSS,Isabel LOHAU,Chris ADCOCK,Gabrielle ADCOCK,Julien MAIO,Lea PALERMO,Marcus ELLIS,Lauren SMITH
57,2021,JANUARY,https://bwfworldtour.bwfbadminton.com/tournament/4108/yonex-thailand-open,YONEX Thailand Open,12 - 17 JANUARY,"PRIZE MONEY USD $1,000,000",https://extranet.bwf.sport/docs/tmt-category/WT_1000.svg,Bangkok,Thailand,Viktor AXELSEN,NG Ka Long Angus,CHOU Tien Chen,Anthony Sinisuka GINTING,Carolina MARIN,TAI Tzu Ying,AN Se Young,Mia BLICHFELDT,LEE Yang,WANG Chi-Lin,GOH V Shem,TAN Wee Kiong,Leo Rolly CARNANDO,Daniel MARTHIN,CHOI Sol Gyu,SEO Seung Jae,Greysia POLII,Apriyani RAHAYU,Jongkolphan KITITHARAKUL,Rawinda PRAJONGJAI,KIM So Yeong,KONG Hee Yong,LEE So Hee,SHIN Seung Chan,Dechapol PUAVARANUKROH,Sapsiree TAERATTANACHAI,Praveen JORDAN,Melati Daeva OKTAVIANTI,SEO Seung Jae,CHAE Yu Jung,Thom GICQUEL,Delphine DELRUE
